Nama_Usaha,Alamat_Usaha
TOKO SINAR PAGI,DESA SUMBER KALONG RT.006 RW.002 
,DESA SUMBER KALONG RT.006 RW.002
TOKO PRACANGAN,DESA SUMBER PAKEM RT.02 RW 01
BAROKAH,jl. pakem
Bondowoso Tea Company,Jl. Mayjen Sutoyo No.12 Dabasah-Bondowoso 68211
EFERATA CELL,JL.RE.MARTADINATA 24
EFERATA JAYA,"TEMPAT USAHA,ETALASE.KURSI DAN LAIN -LAIN"
,JL.RE.MARTADINATA 60 
UD. IJEN MAKMUR,DUSUN KRAJAN RT. 005 RW. 002
M. ARIFIN BENGKEL,CERMEE RT 019/000 Desa. Cermee Kec. Cermee
BAROKAH RONGSOKAN,KRAJAN RT 01 RW 01 DESA JERUK SOKSOK
Jual kopi bubuk cap tiga saudara,Lumutan rt 54 rw 11
Petani Cabai,Dusun Gajas RT 01/01
 Toko Sembako Tiga Putri,Dusun Timur Pasar
Toko cahaya ilmu,Jl. Pengarang RT 02 RW 01 
AL-HUDA JAYA ABADI,JALAN RAYA PUJER DUSUN KAMPUNG BARU RT 06 RW 03 DESA  KONCER DARUL AMAN BONDOWOSO
DAPUR AMEK,Jln pemandian tasnan
Petani jagung,Desa Jambewungu rt 04 kec Wringin kab Bondowoso
toko,kupang
Home Industri (toko pracangan),Dusun Kosawah RT/RW 003/001
TOKO ERZA CELL,JALAN RAYA PAKISAN
UD. BARIKLANA,"Desa Sumberkalong, Rt 018 / RW 007"
TOKO BERKAH,KP. KRAJAN RT.026 RW.000
UD FAMILY,Jl. Raya Jember RT 003 RW 002
Bola Kentang Keju Krispi,"Jl. Raya Sukosari Lor RT 01 RW 01, Desa Sukosari Lor, Kec. Sukosari, Kab. Bondowoso"
Pracangan,Dusun cemara rt 03 rw 02 desa sukokerto PUJER Bondowoso
ASMI CATERING,Desa Tumpeng RT.005 RW.002
Pecel Banyuwangi ,Jalan sutarman alun alun bondowoso
PRACANGAN,DESA MANDIRO RT.01 RW.01
konveksi jahit,sumber pandan rt : 05 rw : 02
pedagang,"kauman
rt/rw 016/004
pelalangan"
"UD.""BIMA TANI""","DUSUN KIDUL SAWAH BARAT, RT.031 RW.007 DESA TAMANAN KECAMATAN TAMANAN KABUPATEN BONDOWOSO"
PUTRI LESTARI,JL. A YANI GG. BAHAGIA RT 23 RW 04
HOME INDUSTRI CAMILAN ACC,DUSUN DUMAS RT 003 / RW 001
Produksi Tempe Mirna,Dusun karang malang rt 23 rw 5
ORGANIKKU,Perum Tegalasri Blok D12
OLSHOP,Desa Taal RT 11/RW 04 Kecamatan Tapen
TAPAI MANIS,KEMUNINGAN RT 005 RW 001 TAMAN KROCOK
Ternak ayam,Kembang Rt 13 Rw 05 Kec. Bondowoso Kab. Bondowoso
RAHMAT JAYA, Desa Pekalangan Rt. 017 Rw. 003
MISBAHAH TAILOR,DESA WRINGIN RT 003
Pedagang Kerupuk,Dusun Timur Sawah RT 06/03
SUMBER JAYA,Krajan utama Rt/Rw : 002/001 Desa Suling Kulon
Pentol bakar,"Wonosari, RT.030 / RW.010"
Petani Cabai,Dusun Lucu RT 19/04
MISBAH GAME,Duysun Cangkring RT 03 RW 06
pedagang pakaian,wringin rt/rw 01/11
Intan Kuliner,"Tlogosari Rt 11, Rw 03 Desa Tlogosari Kecamatan Tlogosari Kabupaten Bondowoso"
TOKO BAROKAH,TAMAN RT.003 RW.001
UD RHOMANTISLAEK,PETUNG RT.003 RW.001
Perdagangan,Desa Jetis RT.15 RW.07
JUAL KOPI,DESA MANDIRO RT.16 RW.05
ANYAMAN BAMBU LANCAR REJEKI,Dusun Krajan Tengah RT. 012 RW. 002
"UD "" DEWI PUTRI """,Dusun Sempol Rt.002 Rw.001
PENJUAL PECAH BELAH,DUSUN KRAJAN RT 5 RW 1
PEDAGANG AYAM,DUSUN EKA PRAJA RT.10 RW.03
AKTIFITAS PANTI PIJAT,Dusun krajan desa petung
misli aqua farm,desa sumber kokap rt 16 rw 06
UD LANGIT,Dusun Paleran RT.006 RW.002 
WARUNG,DUSUN KRAJAN RT.06 RW.03
mie ayam,"jl.kawah jen ,gunung anyar .krajan baru"
PENJUAL PENTOL,KRAJAN RT.07 RW.02
Pertanian,Dusun Plalangan Rt:19/08
MISNAL ABADI,"Gayam Klompong, Rt: 005 Rw: 0012"
TOKO AVIANO,Jl. MT Haryono
,Jl. MT Haryono 
Tani Jaya,Desa Kretek Rt 10 Rw 02
WARUNG NASI BUNGKUS,Jl.Brigpol Sudarlan
JUAL MAKANAN CEPAT SAJI,MANDIRO RT.05 RW.01
gorengan,JL. KIS MANGUNSARKORO RT007/RW003
TOKO MIMI,RT.026 RW.003
Pertanian,Dusun Krajan rt 03 rw 05
jual bensin eceran,Dusun Koncer Malang II
"UD. ""MITRA TANI""",DESA KASEMEK RT.11 RW.05 KEC. TANGGERANG KAB. BONDOWOSO
N.N.J JALALUDIN,Desa Sumber Gading rt.30 Rw.04
,Desa Sumber Gading Rt.30/Rw.04 
NASI PECEL BU SUPAN 3,Jl. Kis. Mangunsarko
Jual Es Campur,DESA PONCOGATI RT 015 RW 003 KECAMATAN CURAHDAMI
Tani padi makmur ,kupang kerajan
warung kopo,jl.penjaitan pujasera selatan sma 2 bondowoso 
Misriyani,"Gang mayor, badean"
Penjahit,Desa Gununganyar RT. 03 RW. 01 Kecamatan Tapen
Selep Padi,Desa Kembang RT 09/ RW 03
jual bensin eceran,desa prajekan kidul rt 002 rw 011
Toko sembako,Kh Agus Salim No 17 Blindungan Bondowoso
tukang kayu,dusun nasar rt 6 rw 2
TINA KATERING,Pakes RT 07 RW 02 desa patemon kec pakem
PRACANGAN,PASAREJO RT.09 RW.04
UD LENTERA,Dusun Paleran RT.007 RW.002
PEDATI IJEN KOPI ARABICA IJEN GEOPARK,DESA KALISAT RT 003 RW 001 DUSUN KRAJAN
CIPTA KARYA,Desa Kretek RT.006 RW.001
,Desa Kretek RT.006 RT.001
Penjual tembakau eceren,Pekarangan RT 09 RW 02
TOYO SINAR,"Gayam sude, Rt: 009 Rw: 010"
TOKO MAKMUR JAYA,RT.013 RW. 002
,RT. 013 RW. 002
prtanian,jets Rt 11 rw 05
DHEA NURSERY,KALI TAPEN 
PERDAGANGAN,"JETIS, RT 08 RW 03"
KMAL STUDIO,Jetis Rt.02 Rw.01 curahdami bondowoso
perdagangan,jetis rt 8 rw 03
MEBEL '' MISWAR'',DESA CURAHPOH RT.007 RW.002
MEBEL '' MISWAR '',CURAHPOH RT.007 RW.002
TOKO SELFINA,"DESA ARDISAENG LOJAJAR RT. 001 , RW. 001"
Gorengan Mak Nyus,Jl. RE. Martadinata RT.024 RW.004
WARUNG BU MISWATI,Dusun Widoro RT. 25 RW.10
"UD ""BERKAH JAYA""",Gunosari RT.011/RW.002
jual ikan,desa klabang 03/02
PRACANGAN,DUSUN KOSAWAH RT.01 RW.01
PRACANGAN ,DESA GAMBANGAN RT.08 RW.02
TOKO SINAR,DESA GUBRIH
TOKO BERKAH,"Bataan Rt,024/Rw,007"
MISYAMI,DUSUN LUCU RT.018/004
Toko peracangan,"Sumber canting, RT10/RW005"
GORENGAN MISYANA,Jl Raya Pakisan 
UD: MEBEL FABEL,Desa kembang RT 12 RW 04 BONDOWOSO
,Desa kembang rt 11 rw 04 Bondowoso
TOKO SRC MIA,Jl.Pringgondani Desa Sukodono
WARUNG BU MIS,JL.PELITA RT.016 RW.006
Sardjono elektronik,Jalan Raya pakisan no25.RT 15
TAILOR DERI,KADEMANGAN RT 25 RW 01
Toko GHAZALI,RT. 06 Rw. 01
PEDAGANG SEMBAKO,LOMBOK KULON RT.04 RW.01
dagang camilan,dusun jasaba rt 23  rw 07
Produksi kerupuk ,"Dusun nasar, Rt/Rw.003/002, Desa Karang melok"
PUPUK ANDA,"Dusun Krajan Utara, Desa Mangen, Kecamatan Tamanan"
YURI CATERING,JALAN DIPONEGORO GANG 5
TOKO ALAT TULIS ,DESA BERCAK RT. 18 
Mebel misyono,Pejaten RT 18 RW 04
Konveksi,Gunung Anyar RT 002 RW 001
Perdagangan Sapi,"Pasar Sapi Mingguan (Bondowoso, Situbondo)"
Kulinir,Dusun Saletreng
Depor Mak 3bii,"Ds.jatian rt27/03 Ds koncer kidul kecamatan Tenggarang, Kab.Bondowoso"
Toko bangunan,Jl hos cokroaminoto rt02 rw01 kademangan bondowoso
TOKO BAGHDAD COLLECTION,Jalan Raya Pakisan Pujer Bondowoso
"DEPOT AIR MINUM""HAFIZQUA""",Hos Cokroaminoto 38 rt02/01
SOTO GERBONG,Jl.Letn.Jend. DI Panjaitan No.90 B RW.06
Penjualan Ikan konsumsi,Dusun Krajan RT 02 RW 01 Desa Maesan Kec. Maesan Kab. Bondowosos
"Jual tahu petis, kurma dan tape bakar",Jual keliling
BAROKAH GIFT,BATAAN RT 04 RW 007 TENGRANG
UD. TAHU BAROKAH,Dusun Burutan RT. 44 RW. 14
KLONTONG,DUSUN KRAJAN BAWAH RT. 013 RW. 002
JUAL BAKSO KELILLING,DESA GRUJUGAN KIDUL RT.25 RW.04
JAMUR VANNY,Dadapan RT 05 RW 01
""" SUMBER JAYA """,Desa Pecalongan RT.011 RW003
Toko Agus,Jln. Kis Mangunsarkoro Rt 19/ Rw 02 Kel.Tamansari
ARIF JAYA,petung rt 06 rw 02 curahdami bondowoso
DODIK LAS,"Alassumur RT/RW 003/002, Alassumur, Pujer"
Jual snack,"Jalan Diponegoro, Kotakulon, Bondowoso"
PRODUKSI MAKANAN RINGAN,DUSUN SUMUR RT 13 RW 03 
JAMUR TIRAM,"Jl. Tamanan, RT 013 RW 002, Desa Grujugan Kidul, Kec. Grujugan, Kab. Bomdowoso, Jawa Timur."
Raji Doger,kh agussalim gg taman rt 032 rw 001
Rasidi Sablon,Dusun Krajan Atas
TERNAK AYAM,Jl.trunojoyo
Barokah Tobacco,dusun song barat rt 15 rw 04
Warung Nasi,Badean
SERVICE KOMPUTER,RT. 008 RW. 002 Dusun Sukosumber Selatan
WARNET/RT RW NET,RT. 008 RW. 002 Dusun Sukosumber Selatan 
neind barokah,kh agussalim rt11 rw 03
PEMBUATAN KUE,DUSUN GABUGAN  RT 16 RW 04 JAMBESARI KECAMATAN JAMBESARI
Bubur Barokah,Jalan Kyai Haji Wahid Hasyim Bondowoso
"Bengkel ""RR MOTOR""",Dusun Krajan RT 33 RW 10
nazyla food,jln lh agus salim 49 RT\RW 012\003 blindungan bondowoso jawa timur
tape manis R1,JL KH AGUS SALIM GG TAMAN NO 19 RT 12 RW 03
Bengkel sepeda motor,tenggarang
AGEN GRIYA BTN,Jl. Sulawesi no.11 RT 007 RW 002 
Penjualan Ayam Potong,Jln kamboja rt 13/rw 04 tapen kec tapen bondowoso 
Kedai Relatif,"Jl. Zainul Arifin no.34 Kutakulon, Bondowoso"
Jamur tiram,Sumbercanting
PEDAGANG SAYUR KELILING,DESA PAKUWESI RT.02 RW.01
TOKO BERKAH,Sukosari kor RT 11 RW 05 - sukosari - bondowoso
SELEP BAROKAH,Desa Maesan Rt.03/02
Penjual furniture,Mangli Wetan RT/RW 023/011
Nadin jaya,Dusun Karang Paras RT/RW. 012/004
Rumah Makan,"Poncogati, Curahdami, Bondowoso"
UD KI RAUNG,KRAJAN I RT.009 RW.001
warung,"Jl KIS Mangunsarkoro Rt.007/Rw.003, Tamansari, Bondowoso"
WARUNG ANUGERAH,Dusun Talpek
Perkebunan Tebu Bagas,Desa Mangli Wetan Rt.003/001 Tapen Bondowoso
Daun Printing,Jl. diponegoro gang 4 no 69 RT :26 RW:04 kotakulon bondowoso
BERKAH,GRUJUGAN LOR RT 19 RW 06
dagang,Desa Jetis RT.06/RW.03
7 PETTO' COFFEE,Dusun Paleran
gorengan,"Poncogati Rt. 02 Rw. 01, desa Poncogati, Kec. Curahdami, Kab. Bondowoso"
Konter,Taman Grujugan BoNdowoso
Jaya Pangan,Nangkaan Bondowoso
TOKO PERTANIAN HIDAYAH 21,DUSUN KRAJAN DESA PETUNG RT.003 RW.001 CURAHDAMI BONDOWOSO
Sablon,Dusun Krajan Rt 01/Rw 01
Warung Kopi,"Jl. Letjen S. Parman
RT 01"
Zula Farm,Dusun Duren RT. 09/ RW. 03
BIN NABHAN FARM,"Dusun : Tenggir
 "
Industri genteng pres,Dusun kalianyar tengah
BERKAH TAILOR,Dusun Kampung Baru RT 06 RW 03 Desa Koncer Darul Aman
Pedagang,Desa petung RT 2 RW 01 Curahdami Bondowoso
PENJUAL GORENGAN,DESA GRUJUGAN KIDUL RT.15 RW.02
ALI SAYUR,JL. KH. AGUS SALIM NO. 28 RT. 012 RW. 004
ANEKA RAGAM BAMBU,RT/RW 16/003 Desa Kejawan Kec. Grujugan Kab. Bondowoso
MEUBEL FAOSI,Tenggarang RT.025 RW.009
pertanian,jetis rt 06 Rw 03
Hasan Las,Desa Pakisan Rt 06 Rw 01
MAJU JAYA 2,Desa Karanganyar
UD MEKAR SARI,Desa Penanggungan
UD HAMDALAH,KEMBANG RT.005 RW.002
UD PERINTIS JAYA,DESA JETIS RT.001 RW.001
EVA Bakery,"Rt.05/03, Dusun Jatian, Desa Sumber Anyar"
konter,tapen mrawan
Warung Tembakau,Jl Kh agus salim no 39
DENTAL NASIR/P. YUS,dsn. dakon rt 17 rw 03 ds. kejawan kec. grujugan kab. bondowoso
BAROKAH FARM ,Desa Ramban Wetan Rt. 001 Kec. Cermee Kab. Bondowoso 
UD. KLANA JAYA,Jl. raya tamanan ds.kalianyar kec. tamanan ka. bondowoso
PENJUAL GAS LPG,DESA PANCORAN RT.07 RW.02
Catering,Dusun Kramat Jati RT. 011
Toko Pupuk Eceran,Dusun Kramat Jati RT. 007 RW. 003
Toko Sembako Bintang Sembilan,DUSUN KRAMAT JATI RT. 007
,Jl. Kh. Agus Salim
PETERNAKAN,Jl. Argopuro sumber salak RT01 RW01 CURAHDAMI BONDOWOSO
aluminium dikadira sayangan,"Mandira,tegalampel, bondowoso,"
Persewaan alat pesta,Desa Locare Rt 02 Rw 01 Kecamatan Curahdami Kab. Bondowoso
Agen pulsa,sumber kalong
Budidaya Ikan Air Tawar,"Jl. Jambesari, RT 07 RW 02"
UD. BAROKAH JAYA,Pasar Desa Cermee
PERTANIAN,JETIS RT 14 RW 06
TERNAK BURUNG ARIN,PEKALANGAN RT.009 /002
Faid Studio foto,Jurangsapi RT 03 RW 03
PENJUAL SANDAL,PASAR MAESAN 
Ojek Online,Bataan 
Ternak Ikan dan Pertanian,Desa Sucolor Rt 2 Rw 1 Kecamatan Maesan Kabupaten Bondowoso
KIOS BENSIN ECERAN,DUSUN BUNDUH RT08/03 DESA BATAAN KEC.TENGGARANG
TOKO RESTU IBU,JALAN RAYA MASKUNING KULON - PUJER
Khabib Chicken,Jl KH Hasyim Asyhari 
Makanan,Jln.diponegoro rt35rw04 bondowoso
TOKO BERKAH,gayam sude Rt 005 Rw 010
AS-SALAM 2,RT.007 / RW.004
KRUPUK PROTOKOL,LOJAJAR RT.001 / 001
A5 JAYA,Karang Tengah RT. 07 RW. 02
UD.JAYA,Desa Gadingsari RT12 RW 03
PERDAGANGAN,Desa Jetis RT.03 RW.02
Mitra Jamur Janggel,Dusun Karang Malang RT 22 RW 005
TOKO  SUMBER REJEKI,DESA LUMUTAN RT.067 RW.010
MARTABAK INDO RASA,Alun Alun Bondowoso Kel. Dabasah Kec. Bondowoso
UD. BAROKAH PENGOLAHAN KOPI,SUCO LOR RT 005 / RW 002
TOKO ANGKRINGAN,Jalan Khairil Anwar RT.005 RW.001
JURAGAN SAPI,Jl. Argopuro Dusun Salak RT 004 RW 002
Meubel Suyono,Desa Pejaten RT 002 RW 001
"UD. "" TAUFIK JAYA FURNITURE COM """,Plampang Utara Rt.015 \ Rw.004 Desa Rejo Agung
UD ALDAN BAROKAH,DUSUN KARANG MALAM RT.021 RW.005
Krizchips,Jl Karanganyar RT 11/03 kec. Tegalampel kab Bondowoso
DEYAZSHOPE,MANDIRO RT. 024 RW. 008
PENJUAL BAKSO,DUSUN GUNDANG RT.11 RW.03
Jual Pop Ice,"Suling Kulon RT.11, Kecamatan Cermee, Kabupaten Bondowoso"
UD DESI,DESA WONOSARI KEC. WONOSARI KAB. BONDOWOSO
Phitta Flasher,jl.raya jember bondowoso no.5
BULU ANGSAP PLIWOOD,"DUSUNTENGGINAH RT24 RW 05
DESA SUMBER JERUK"
UD KAMBING BERKAH BAROKAH,DUSUN KARANG MALANG RT.010 RW.002
UD. Kerre Kreatif,Jl. Wisata Tancak Kembar Ds . Sumberdumpyong RT 07 RW 03
pertanian,grujukan lor 
pedagang,"pelalangan
rt/rw 015/009
pelalangan"
Perdagangan,Dusun gabugan rt-018 rw-004 jambesari darus sholah
Nuruddin_Pandhi,Dusun Pasar
Toko sembako,dusun karang malang rt. 23 rw 005
VISYA,Jl. Tamanan RT. 007 / RW. 001
UD ANDI,Jalan Diponegoro Gg Malabar RT.021 RW.007
UD. RISKIY GEMILANG,Dusun Karang Paras Rt. 024 Rw. 004
UD. SONY JAYA 2,Dusun Sumberjati Rt. 002 Rw. 001
,Dusun Sumberjati Rt. 002 Rw. 001 
TOKO NYATA,"Kerang Jatirejo, Rt: 014 Rw: 005"
kantin aksan,"jl hos cokroaminoto rt 24,rw 4 kelurahan kademangan kecamatan bondowoso"
PANGKAS RAMBUT BANG ALI,DUMAS TIMUR RT/RW 004/001
ND speed,Jl raya pakisan lojajar rt 05 rw 03 tenggarang
"TOKO ""MM""",JALAN TRUNO JOYO NO. 1 RT:01 RW:01 KAPURAN WONOSARI
UD SEDERHANA,RT 1 RW 1
KENARI DIMAN,Desa Wonosuko RT. 010 RW. 002
ALVIL. SNACK,Yos sudarso no 5 -blindungan - bondowoso
CEMILAN,JL. PELITA 1086 RT/RW 017/006
PANDE BESI PAK IQBAL,LUMBUNG I RT.016 RW.005
PEKERJA SENI,"Dusun Cangkring, Desa Grujugan Lor, RT 19, RW 6 "
Pertanian,"Dusun Cangkring, RT 19, RW 06"
BAKSO ANDIKA,Jalan Letnan Sudiono 
Tempe asli prima,Desa sukowiryo dusun blumban
Ayam Pedaging,Desa Pekalangan Rt. 021 Rw. 004
"UD.""HILMAN JAYA""",Desa Klabang RT. 009 RW. 003
Cak Jamur,penambangan rt 08 rw 05 curahdami
TOKO II PELANGI,DESA LUMUTAN RT 051 RW 011
FAMILY MEDIA,RT 004 RW 002 KEL. SEKARPUTIH KEC. TEGALAMPEL KAB. BONDOWOSO JAWA TIMUR
Syani studio,jl.kyai togo ambar sari. no 001. gardu salak
JUAL PULSA,JL. RAYA JEMBER-BONDOWOSO DESA PAKUNIRAN KECAMATAN MAESAN KABUPATEN BONDOWOSO
SAS Coffee,Tanah Wulan
MEUBLE ,Jalan Brigpol Sudarlan N0.56 Kelurahan Nangkaan Kecamatan Bondowoso Kabupaten Bondowoso
PERTERNAKAN,JETIS RT 07 RW 03
AZIZ JAYA LAS,DESA CERMEE Rt.006 Kec. Cermee 
PENGGILINGAN JAGUNG NIAR JAYA,Dusun Trebung Rt.15 Rw.04 Desa Karanganyar
Abdul Sablon,Dusun Krajan Bawah
BINA USAHA,Dusun Gentong rt 015 rw 004
Ridho Elektro ,Jln. KH AGUSSALIM Gg taman Rt.012 Rw.004
FOOD SOCIETY,RT: 013 Rw: 000
ADIM FURNITUR,"Dusun Salak RT/RW. 006/003, Taal, Tapen"
Warung Pojok Pemuda Tersesat,Jl. Patemon
Sadewa drink,"Desa :pekalangan 
Kecamatan :tenggarang
Rt/rw:001/001"
NANANG CILOK,JL. KH. AGUS SALIM RT. 012 RW. 004
Peternakan,Desa pasarejo kecamatan wonosari
AQBIL TOBACCO,Dusun Silowogo
ONGOT'S RENGGINANG,Jalan Cempaka Dusun Lor Kali RT 06/ RW 02 Desa Maesan Kecamatan Maesan Kabupaten Bondowoso
TAHU KRENYES,Kajar RT/RW 009/004 Tenggarang
Las Listrik & Karbit,Dusun Salak RT/RW 06/03 Desa Taal Kecamatan Tapen
bengkel cat,saliweryo pranowo RT.006 RW.002
Warangka TriArgo,Dusub Krajan 01 RT/RW : 005/002
DEPOT JAMU ALI BABA,DESA KARANG PANDE RT03 RW.01 NO.105
TAHU PONG DAN CRISPY BANG BASIR,"Blindungan, Bondowoso"
PRACANGAN,DUSUN KRAJAN 08/02
KERUPUK MAS DAIM,Kasemek RT 17 RW 09
BENGKEL,KARANG ASEM  RT.13 RW.05
BENGKEL MOTOR,KIS Mangunsarkoro RT 08/04 Ds.Taman Sari Bondowoso 
cemara recycle,jl.KH mansur no 14 rt24 rw.07 kel.Blindungan kec.Bondowoso kab.Bondowoso
Faris tebu,Desa taal rt/rw 03/02 kec tapen kab bondowoso
Jaya Abadi,Jl. ayani pertokoan bungur
CAHAYA JAYA,RT.010/RW.003
TOKO CENTRAL BAROKAH,Desa Andungsari Rt. 2 Rw. 1
TAHU KRAOS DAN TAHU NDOWER,JL.KH.ZAINUL ARIFIN RT4 RW1 KOTAKULON BONDOWOSO
Agen pulsa,Grujugan kidul RT/RW 10/02
"TOKO "" HAFIFIN """,RT.016 / RW.002
HAKIKI AYAM POTONG,KARANGANYAR RT.009/ RW. 003
KERUPK INUL,padasan RT11 RW 05
UD. HAMIM,Krajan Rt. 005 Rw. 001
Bumbu Pecel Hasim,jl.Kh Agussalim rt 12 rw 03
UD CHOCO BANANA KRESS,JALAN RAYA PETUNG NO.15  RT.003 RW.001 
Menjahit,Desa kalianyar kecamatan  tanaman bondowoso  rt 11 rw 2
Mina Usaha Sejati,Karang Pande RT1 RW1 Grujugan lor
UD. ARG,Desa Sumber Salam RT 013 RW 004
UD MELATI,Jl. Kopral Murin (Dusun Sumber Ayu) RT.011 RW.002
koin emas,"Kauman, Kota Kulon, Bondowoso"
PETERNAKAN KAMBING,"DUSUN BUNDUH, BATAAN, TENGGARANG, BONDOWOSO"
Pangkas Rambut Mas Ewok,Mengok RT 22 RW 07 Kecamatan Pujer Kabupaten Bondowoso
BAROKAH TEKHNIK,Dusun Lucu RT. 016 RW. 004 
UD SUMBER REJEKI,RT 050/RW 006
Ilham Flowers,Wringin Bondowoso
fikal modification,tamansari
perdagangan,Blok Masjid RT 13 RW 06
kuliner ,Jl A. Yani 
Khoirul Lensa,RT 007 RW RW Desa Kajar
PELANGI,Sulek RT:003/RW:002
Pedagang gas ilpiji,"Dusun krajan,010/02. Pejagan.jambisari.Darussholah."
INDY TAS,SUMBERSALAM RT 026/ RW 008 SUMBER SALAM KEC. TENGGARANG
MARIO JAMUR,DESA KARANGAYAN RT. 0-25 RW. 008 
,DESA KARANGANYAR RT. 025 RW. 008
Sablonah Taretan Dhibik,RT 002/RW 001 dusun Krajan Atas
ALAT BERAT BETON,Desa Patemon Rt 013/RW 003
Pracangan,Dusun Ampelan  rt 10 rw 05 desa sukokerto kecamatan pujer kabupaten Bondowoso
SUCI BAROKAH,Dsn. Krajan RT. 004 RW. 001
SUMMER MILK BONDOWOSO,Kecamatan Curahdami Jalan sersan atmari Curahpoh Curahdami RT 2 RW 1
EL-FASA,karanganyar RT.6/RW.2
,desa karanganyar rt 06 rw 02
,Karanganyar RT.6/RW.2
Nauwir Lele,"Mandiro RT 018 Rw 006
Desa Mandiro"
PEDAGANG SAPU,DUSUN KEMIRI RT 006/002
Pertanian padi,Prov.jawa timur Desa padasan kec.pujer kab.Bondowoso RT/RW 04/02
UD FANI DAN FAIZ,JL.RAWA INDAH 
UD.CAHAYA BARU KARANGANYAR,Desa Karanganyar Rt.04 Rw.03
TOKO. INDRA JAYA,Desa Padasan RT. 006 RW. 002
Tanaman Hias,Desa Jurangsapi RT.37 RW.12 Kecamatan Tapen Kabupaten Bondowoso
UD TANI UNGGUL,DESA KABUARAN RT.012 RW.002
Tabuttie Store,"Desa Kembang, RT. 018/RW.006, Kec. Bondowoso, Kab. Bondowoso"
UD RIDWAN,Dusun Krajan III RT 012 RW 003 
Body otomotif,Sulek
UD. REZEKI MEMBANGUN,DUSUN HILIR RT 02 RW 01
seblak mbak listy,"jalan letnan sutarman, kauman, kotkulon bondowoso"
pedagang sayur,wringin jajar RT 015 RW 006 desa Kalitapen Kec Tapen Bondowoso
Nusantara Farm,"dusun nyiuran RT.12 RW.05 Lombok Wetan, Wonosari, Bondowoso"
Nusantara Multi craft,"dusun nyiuran RT.12 RW.05 desa ombok wetan, Kecamatan Wonosari, Kabupaten Bondowoso"
,"dusun NyiuranRT.12 RW.05, Desa Lombok Wetan, Kecamatan wonosari , Kabupaten Bondowoso"
PENJUAL CILOK,SUMBER KRAMAT RT.03 RW.01
PEMBIBITAN DAN PETERNAKAN,Desa Petung RT 002 Kecamatan Curahdami
UD JAYA KARYA,Desa Penanggungan RT.007 RW.002
Bengkel hp pandawa cell,Sekarputih RT.19 RW. 005 Sekarputih kecamatan tegalampel
SALES MAKANAN KELILING,DUSUN KRAAJAN 03/01
TUKANG KAYU,Desa Baratan RT 01 RW 01
TERNAK KAMBING SENOL,BATAAN RT.032 / 009
penjulan pupuk,DUSUN SUMUR RT. 013 RW. 003 DESA SUKOSARI KECAMATAN TAMANAN
UD. MAJU JAYA,Jl. Raya Situbondo No. 1321 RT.33 / RW.11
UD. BINTANG BARU,Jl. Karanganyar
UD SUKRI,DUSUN PEJAGAN 
,DUSUN PEJAGAN
KERUPUK BAWANG ,Jl. Brigjen Katamso Rt. 008 Rw. 002
UD UMMAH FROZEN,"KELURAHAN KADEMANGAN RT 1,RW 1 KECAMATAN BONDOWOSO"
UD. BERKAH JAYA,Desa Maskuning Kulon
Kong Singkong,Santawi 36 Rt 12 Rw 05 Kelurahan Taman Sari kecamatan Bondowoso
Bibit Cabai unggul,Dusun Kidul Kali
SUNAR JAYA,DUSUN WRINGIN TENGAH
PETERNAKAN BURUNG KENARI,Jln. Pringgondani Desa Sumber Jeruk 
UD CARAKA JAYA,Desa Pekalangan RT.005 RW.001
Pedagang,Petung RT/RW :01 /01
,Petung RT RW :01/01
Yusuf Sablon,"Dusun Lapongan Rt 05/ Rw 02, Sumbersari, Maesan"
WARUNG NASI BU BIANG,Prajekan Kidul RT.002 RW.013 
ASGA,jALAN IMAM BONJOL NO. 20 A RT.16 RW. 03
SANGKAR BURUNG PAK KIP,SUMBER TENGAH RT.010/003
SEJATI MOTOR,"dusun krajan. Rt.01/Rw.01 Desa Penanggungan Kecamatan Maesan, Kabupaten Bondowoso"
Tani,Petung RT/RW :03/01
TOKO TOMIO,KARANGANYAR RT.014 RW.004
Izzah Collection,gayam
WARUNG RAKYAT,Dusun Sletreng RT 003 RW 002 Kupang Kec. Curahdami Kab. Bondowoso
BUDI DAYA IKAN KOI,Dusun Krajan RT.11 RW.02 Desa Sumber Kemuning 
UD LESTARI,Tamansari 24/03
Sablon,jl. A Yani ( ex asrama yon 514 )
"UD "" RAUNG COFFE """,dusun tol - tol barat  desa rejoagung rt 033 rw 007 kecamatan sumberwringin 
es buah,bercak asri rt 01
Buah Segar,Dsn jurang sapi rt/rw 006/003 Ds jurang sapi kec tapen
AGEN ECERAN GAS  LPG,RT 09 RW 02 MASKUNING WETAN KECAMATAN PUJER
JAMU MBAH MUN,jl. veteran no. 53 rt.29/rw.07 kel.dabasah bondowoso
Tempe ASLI ENAK,"Desa PANCORAN RT 01/01 dsn. BUNDER .Kec, kota Bondowoso"
,"Dsn. BUNDER RT 01/01 desa Pancoran , kec. Kota Bondowoso"
VIZ.COMP,DUSUN TENGGINAH RT.014 RW.003
BURSAK MEBEL,Desa Blimbing RT. 06 RW. 02
UD BERKAH,DUSUN SOKLAK RT.003 RW.001
SANGKAR BURUNG,Dusun Mengen Barat RT. 013 RW. 004
MUAWI TEMBAKAU,"Dusun Klompang, Rt: 005 Rw: 012"
Penjahit Muawiyah,Desa Mengok RT.022 RW.007
